Epoch,Loss,Accuracy
1,8.620275497436523,0.0
2,7.750688552856445,0.0
3,8.086261749267578,0.0
4,7.363000869750977,0.0
5,7.091794490814209,0.0
6,7.351616859436035,0.0
7,6.718496799468994,0.0
8,7.055452346801758,0.0
9,6.407186508178711,0.0625
10,6.196709632873535,0.0625
11,6.262491703033447,0.0
12,6.347325325012207,0.0
13,6.932201385498047,0.0625
14,5.936631202697754,0.125
15,5.7956318855285645,0.1875
16,6.2446064949035645,0.125
17,6.313416957855225,0.0625
18,5.726708889007568,0.0625
19,6.183453559875488,0.125
20,5.9616475105285645,0.125
21,5.183619022369385,0.125
22,6.275950908660889,0.0625
23,5.685637474060059,0.125
24,5.948498725891113,0.125
25,5.567770957946777,0.125
26,6.748638153076172,0.0
