poem_id,poet_name,poem,translation,notes,meaning,poet_name_e,title
1.0,மதுரைக் கண்ணங்கூத்தனார்,"பொருகடல் வண்ணன் புனை மார்பில் தார் போல்,
திருவில் விலங்கு ஊன்றித் தீம்பெயல் தாழ,
வருதும் என மொழிந்தார் வாரார் கொல், வானம்
கருவிருந்து ஆலிக்கும் போழ்து?
","Mullai What the heroine’s friend said to her
Will he come when the clouds
pour rain,
the man who said he would
return when sweet rains fall,
and lovely rainbows appear
blocking the sky,
looking like garlands worn on
the chest of Thirumāl whose
color is that of the ocean with
crashing waves?
","  தோழி தலைவிக்குப் பருவங்காட்டி வற்புறுத்தியது.
","பொருகடல் வண்ணன் – one the color of the ocean with crashing waves – Thirumāl, புனை மார்பில் – worn on his chest, தார் போல் – like flower garlands, திரு வில் – beautiful rainbows, விலங்கு – blocking, ஊன்றி – placed, தீம் பெயல் தாழ வருதும் என மொழிந்தார் – he said that he will come when sweet rains fall, வாரார் கொல் – will he come, வானம் கருவிருந்து ஆலிக்கும் போழ்து – when the clouds rain from the sky
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
2.0,மதுரைக் கண்ணங்கூத்தனார்,"கடுங்கதிர் நல்கூரக், கார் செல்வம் எய்த,
நெடுங்காடு நேர் சினை ஈனக், கொடுங்குழாய்,
இன்னே வருவர் நமர் என்று, எழில் வானம்
மின்னும் அவர் தூது உரைத்து.
","Mullai What the heroine’s friend said to her
The harsh sun’s rays have become
feeble, rainy season has brought
prosperity, and the trees in the huge
forest have put out beautiful sprouts.
Oh friend wearing curved earrings!
Lightning flashes in the lovely sky,
carrying a message from your lover
that he will return soon.
","  தோழி தலைவிக்குப் பருவங்காட்டி வற்புறுத்தியது.
","கடுங்கதிர் நல்கூர – as the harsh rays of the sun become feeble, கார் செல்வம் எய்த – rainy season provided prosperity, நெடுங்காடு – huge forest, நேர் சினை ஈன – have put out beautiful sprouts on their branches, கொடுங்குழாய் – oh one with curved earrings, இன்னே வருவர் நமர் என்று – that our man will come soon, எழில் வானம் மின்னும் – the beautiful sky flashes lightning, அவர் தூது உரைத்து – uttering a message from him
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
3.0,மதுரைக் கண்ணங்கூத்தனார்,"வரி நிறப் பாதிரி வாட, வளி போழ்ந்து
அயிர் மணல் தண் புறவின் ஆலி புரள,
உரும் இடி வானம் இழிய, எழுமே
நெருநல், ஒருத்தி திறத்து.
","Mullai What the heroine’s friend said to her
Rainy season arrived yesterday,
and pāthiri flowers with lines
wither in the splitting wind, hail
falls on the fine sand in the cool
forest, and thunder roars in the sky,
all for one woman.
","  பருவங் கண்டழிந்த தலைவியை ஆற்றவேண்டித் தோழி தன் ஆற்றாமை தோன்ற உரைத்தது.
","வரி நிறப் பாதிரி வாட – pāthiri flowers with lines wither, yellow trumpet flower tree, stereospermum chelonoides, வளி போழ்ந்து – wind blows splitting, அயிர் மணல் – fine sand, தண் புறவின் – in the cool forest, ஆலி புரள – hailstones drop, raindrops fall, உரும் இடி வானம் இழிய – thunder roars in the sky, எழுமே – rose, came, நெருநல்- yesterday, ஒருத்தி திறத்து – for one woman
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
4.0,மதுரைக் கண்ணங்கூத்தனார்,"ஆடு மகளிரின் மஞ்ஞை அணி கொள,
காடும் கடுக்கை கவின் பெறப் பூத்தன,
பாடு வண்டு ஊதும் பருவம், பணைத் தோளி,
வாடும் பசலை மருந்து.
","Mullai What the heroine’s friend said to her
Oh friend with arms like
bamboo!
The rainy season has arrived
as medicine for your fading
pallor.
Peacocks have attained the
beauty of dancing women,
the forest is lovely with
kondrai blossoms, and it is
the season for singing bees to
hum.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","ஆடு மகளிரின் மஞ்ஞை அணி கொள – peacocks have attained beauty like female dancers, காடும் கடுக்கை கவின் பெறப் பூத்தன – the forest is beautiful with laburnum blossoms, Indian laburnum, சரக் கொன்றை, golden shower tree, பாடு வண்டு ஊதும் பருவம் – it is the season for singing bees to hum, பணைத் தோளி – oh one with bamboo-like arms, வாடும் பசலை மருந்து – medicine for your fading pallor
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
5.0,மதுரைக் கண்ணங்கூத்தனார்,"இகழுநர் சொல் அஞ்சிச் சென்றார் வருதல்,
பகழிபோல் உண் கண்ணாய், பொய் அன்மை, ஈண்டைப்
பவழம் சிதறியவை போலக் கோபம்
தவழும் தகைய புறவு.
","Mullai What the heroine’s friend said to her
My friend with kohl-rimmed
eyes resembling arrows!
It is not a lie! He will return
for sure, fearing blame,
your man who went to earn.
Little red pattupoochi bugs
crawl around looking like
scattered pieces of coral, in the
beautiful forest.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","இகழுநர் சொல் அஞ்சிச் சென்றார் – the man who went afraid of blame (blame of not earning and helping relatives), வருதல் – returning, பகழி போல் – like arrows, உண் கண்ணாய் – oh one with kohl-rimmed eyes, பொய் அன்மை – it is not a lie, it is true, ஈண்டை – here, பவழம் சிதறியவை போல – like scattered pieces of coral, கோபம் தவழும் – little red pattupoochis crawl around, trombidium grandissimum, தகைய புறவு – the beautiful forest
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
6.0,மதுரைக் கண்ணங்கூத்தனார்,"தொடி இட ஆற்றா தொலைந்த தோள் நோக்கி,
வடு இடைப் போழ்ந்து அகன்ற கண்ணாய், வருந்தல்,
கடிது இடி வானம் உரறும், நெடு இடைச்
சென்றாரை நீடல்மின் என்று.
","Mullai What the heroine’s friend said to her
Oh friend with wide eyes that
resemble split vadu mangoes.
Do not worry looking at your
thin arms that are unable to
hold your bangles.
Thunder will roar loudly in the
sky, telling your man who went
on the long path, “Do not delay
your return”.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","தொடி இட ஆற்றா – unable for bangles to stay, தொலைந்த தோள் நோக்கி – looking at your arms that have thinned, வடு இடைப் போழ்ந்து – immature tiny mangoes that are split, அகன்ற கண்ணாய் – oh one with wide eyes, வருந்தல் – do not feel sad, கடிது இடி வானம் உரறும் – thunder will roar loudly in the sky, நெடு இடைச் சென்றாரை நீடல்மின் என்று – telling the man who went on the long path not to delay his return
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
7.0,மதுரைக் கண்ணங்கூத்தனார்,"நச்சியார்க்கு ஈதலும், நண்ணார்த் தெறுதலும்,
தற்செய்வான் சென்றார்த் தரூஉம், தளர் இயலாய்,
பொச்சாப்பு இலாத புகழ் வேள்வித் தீப் போல,
எச்சாரும் மின்னும், மழை.
","Mullai What the heroine’s friend said to her
Oh friend who is distressed!
Lightning and rain in all
directions,
will bring him back for sure,
your man who went seeking
wealth to give to people who
love him, and to ruin enemies.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","நச்சியார்க்கு ஈதலும் – giving to desired people, நண்ணார்த் தெறுதலும் – ruining those with enmity, தற் செய்வான் – wanting to do that, சென்றார் – he went, தரூஉம் – it will bring him (இன்னிசை அளபெடை), தளர் இயலாய் – oh one who is languished, oh one who is distressed, பொச்சாப்பு இலாத – without forgetfulness, for sure, புகழ் வேள்வித் தீப் போல – like the famed ritual fire, எச்சாரும் – on all directions, மின்னும் மழை – there is lightning and rain
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
8.0,மதுரைக் கண்ணங்கூத்தனார்,"மண் இயல் ஞாலத்து மன்னும் புகழ் வேண்டி,
பெண் இயல் நல்லாய், பிரிந்தார் வரல் கூறும்
கண் இயல் அஞ்சனம் தோய்ந்த போல், காயாவும்
நுண் அரும்பு ஊழ்த்த புறவு.
","Mullai What the heroine’s friend said to her
Oh friend of fine, feminine
nature!
The tiny kāyā buds that are dark
like kohl that decorates eyes,
put out by the forest,
announce the return of your
man who left to earn everlasting
fame in this earth made with sand.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","மண் இயல் ஞாலத்து – in the earth with sand, மன்னும் புகழ் வேண்டி – desiring everlasting fame, பெண் இயல் நல்லாய் – oh fine feminine woman, பிரிந்தார் வரல் கூறும் – they tell that the man who separated will return, கண் இயல் அஞ்சனம் தோய்ந்த போல் – like kohl (கண் மை) that decorates eyes, காயாவும் நுண் அரும்பு ஊழ்த்த புறவு – the forest has put out tiny kāyā buds, ironwood Tree, memecylon edule Roxb (kāyā buds are dark blue in color)
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
9.0,மதுரைக் கண்ணங்கூத்தனார்,"கருவிளை கண் மலர் போல் பூத்தன கார்க்கு ஏற்று
எரி வனப்பு உற்றன தோன்றி வரி வளை
முன் கை இறப்பத் துறந்தார் வரல் கூறும்
இன்சொல் பலவும் உரைத்து
","Mullai What the heroine’s friend said to her
Karuvilai flowers have blossomed
like eyes, and thōndri flowers appear
like lovely flame in this rainy season.
They utter many sweet words
announcing the return of your man,
who left causing the beautiful bangles
on your forearms to slip down.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","கருவிளை கண் மலர் போல் – karuvilai flowers that look like eyes, mussel shell creeper, பூத்தன – they have blossomed, கார்க்கு ஏற்று எரி வனப்பு உற்றன தோன்றி – the thōndri flowers have become lovely like flame in this rainy season, Malabar glory lilies, வரி வளை முன் கை இறப்ப – for the patterned/pretty/striped bangles on your forearm to slip down, துறந்தார் வரல் – the return of the man who abandoned, கூறும் இன்சொல் பலவும் உரைத்து – uttering many sweet words
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
10.0,மதுரைக் கண்ணங்கூத்தனார்,"வான் ஏறு வானத்து உரற, வய முரண்
ஆன் ஏற்று ஒருத்தல், அதனோடு எதிர் செறுப்பக்,
கான்யாற்று ஒலியின் கடு மான் தேர், என் தோழி
மேனி தளிர்ப்ப வரும்.
","Mullai What the heroine’s friend said to her
As thunder in the sky roars
among the clouds, a strong,
arrogant bull bellows in
response.
Your lover’s chariot pulled
by fast horses will come
speeding with sounds of the
forest streams, and your
body will thrive.
","  தோழி பருவங்காட்டித் தலைவியை வற்புறுத்தியது.
","வான் ஏறு – thunder in the sky, வானத்து உரற – rumbles with clouds, வய முரண் ஆன் ஏற்று ஒருத்தல் – strong arrogant male of a cow – bull , அதனோடு எதிர் செறுப்ப – roars in response to it, கான் யாற்று – forest stream, ஒலியின் – with sounds, கடு மான் தேர் – chariot with fast horses, என் தோழி மேனி தளிர்ப்ப வரும் – will come causing my friend’s body to become joyous
",Madhurai Kootanaar,"முல்லை தோழி தலைவியிடம் சொன்னது
"
