poem_id,poet_name,poem,translation,notes,meaning,poet_name_e,title
1.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
நெல் பல பொலிக, பொன் பெரிது சிறக்க,
என வேட்டோளே யாயே, யாமே,
நனைய காஞ்சிச் சினைய சிறு மீன்
யாணர் ஊரன் வாழ்க,
பாணனும் வாழ்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May paddy fields yield rich harvest!
May the country flourish!
So desired my friend!
We desired that the man from the
rich town with budding kānji trees
and pregnant small fish,
live a long life along with his bard!
","  The unfaithful hero returns home to the heroine who accepts him.  He asks the heroine’s friend about how the heroine managed in his absence.  The heroine’s friend utters these words which reveal the fine traits of the heroine.   ஆதன், அவினி – சேர மன்னர்கள்.  உள்ளுறை:  பழைய உரை: பூவும் புலாலும் ஒக்க விளையும் ஊரன் என்றது குலமகளிரைப் போலப் பொது மகளிரையும் ஒப்புக் கொண்டொழுகுவான் என்பதாம்.  யாமே (3) – ஒளவை துரைசாமி உரை – யாமே எனப் பன்மை வாய்பாட்டாற் கூறியது, ஆயத்தாரையும் உளப்படுத்தற்கு.  இலக்கணக் குறிப்பு:  பொலிக, சிறக்க, வாழ்க – வியங்கோள் வினைமுற்றுக்கள், நனைய – பெயரெச்சம், சினைய – பெயரெச்சம், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாணர் ஊரன் – யாணர் புதியது ஆகுபெயரால், செல்வ வருவாய் குறித்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, பாணனும் – உம்மை இறந்தது தழுவியது; இழிவு சிறப்புமாம், வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive.  யாணர் – புதிதுபடற் பொருட்டே யாணர்க் கிளவி (தொல்காப்பியம், உரியியல் 83).
","  வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, நெல் பல பொலிக – may there be abundant rice paddy, பொன் பெரிது சிறக்க – may there be riches, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, நனைய – with buds, காஞ்சி – portia tree, பூவரச மரம், Thespesia populnea, சினைய சிறு மீன் – pregnant small fish, யாணர் ஊரன் – the man from prosperous town, வாழ்க – may he live long, பாணனும் வாழ்க –  may the bard live long, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
2.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
விளைக வயலே, வருக இரவலர்,
என வேட்டோளே யாயே, யாமே,
பல்லிதழ் நீலமொடு நெய்தல் நிகர்க்கும்
தண்துறை ஊரன் கேண்மை,
வழிவழிச் சிறக்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May fields yield harvest!
May those in need come for alms!
So desired my friend!
We desired that her friendship
with the man from the cool shore
where many-petaled, blue waterlily
blossoms are like the white waterlily
flowers, will flourish forever.
","  The unfaithful hero returns home to the heroine who accepts him.  He asks the heroine’s friend about how the heroine managed in his absence.  The heroine’s friend utters these words which reveal the fine traits of the heroine.   உள்ளுறை:  பழைய உரை: சிறப்புடைய கருங்குவளையுடனே சிறப்பில்லாத நெய்தல் நிகர்க்கும் ஊரன் என்றது, குலமகளிருடனே பொதுமகளிர் இகலும் ஊரன் என்றவாறு.  பல்லிதழ் (4) – ஒளவை துரைசாமி உரை – அகரம் கெட்டு ‘குறியதன் முன்னர்த் தன்னுரு இரட்டலும்’ (தொல்காப்பியம், எழுத்து 160) என்றதனால் லகரம் இரட்டித்து பல்லிதழ் என முடிந்தது.  இலக்கணக் குறிப்பு:  விளைக, வருக, சிறக்க – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வயலே  ஏகாரம் அசை நிலை, an expletive, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, விளைக வயலே –  may the fields yield harvest, வருக இரவலர் – may those in need come, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, பல்லிதழ் நீலமொடு – with blue waterlilies with many petals (பல்லிதழ் – அகரம் கெட்டு ‘குறியதன் முன்னர்த் தன்னுரு இரட்டலும்’ – தொல்காப்பியம், எழுத்து 160, என்றதனால் லகரம் இரட்டித்து பல்லிதழ் என முடிந்தது), நெய்தல் நிகர்க்கும் – are looking like white waterlilies, it is white waterlily in this context,  தண்துறை ஊரன் – the man from the cool shore town, கேண்மை – friendship, love, வழிவழிச் சிறக்க – let it flourish again and again, let it flourish forever, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
3.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
பால் பல ஊறுக, பகடு பல சிறக்க,
என வேட்டோளே யாயே, யாமே,
வித்திய உழவர் நெல்லொடு பெயரும்
பூக்கஞல் ஊரன், தன் மனை
வாழ்க்கை பொலிக என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May milk flow abundantly!
May bulls thrive!
So desired my friend!
We desired for the family life of the
man from the town with abundant
flowers, where farmers who seed
return with rice paddy, to flourish.
","  The unfaithful hero returns home to the heroine who accepts him.  He asks the heroine’s friend about how the heroine managed in his absence.  The heroine’s friend utters these words which reveal the fine traits of the heroine.   உள்ளுறை:  பழைய உரை: உழவர் முன்பு விளைந்த செருவின் நெல்லொடு பெயருமென்றது, பின்வரும் பரத்தையர்க்கு வருவாய்பண்ணி அக்காலத்து உளராகிய பரத்தையரோடு இன்பம் நுகர்வான் என்பதாம்.  இலக்கணக் குறிப்பு:  ஊறுக, சிறக்க, பொலிக – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive.  வித்திய உழவர் நெல்லொடு பெயரும் (4) – ஒளவை துரைசாமி உரை – விளைத்தற்குச் சென்ற உழவர் முன்னே விளைந்துள்ள நெல்லைக் கொண்டு மீளும்,  பொ. வே. சோமசுந்தரனார் உரை – கழனியிலே வித்தினை விதைத்த உழுதொழிலாளர் கூலி நெல்லோடு செல்லும்.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, பால் பல ஊறுக – may milk flow abundantly, பகடு பல சிறக்க – may many bulls thrive, என – thus, வேட்டோளே – she desired, யாயே – friend, தேற்றம், certainty), யாமே – we, வித்திய உழவர் – farmers who planted seeds, நெல்லொடு பெயரும் – they return with rice paddy, பூக்கஞல் ஊரன் – the man from the town with abundant flowers, the man from the town dense with flowers, தன் மனை வாழ்க்கை – his family life, பொலிக – may it flourish, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
4.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
பகைவர் புல் ஆர்க, பார்ப்பார் ஓதுக,
என வேட்டோளே யாயே, யாமே,
பூத்த கரும்பின், காய்த்த நெல்லின்
கழனி ஊரன் மார்பு
பழனம் ஆகற்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May enemies eat grass!
May Brahmins chant!
So desired my friend!
We desired that the chest of the
man, from the town where
sugarcane blooms and paddy mature,
not become common property.
","  The unfaithful hero returns home to the heroine who accepts him.  He asks the heroine’s friend about how the heroine managed in his absence.  The heroine’s friend utters these words which reveal the fine traits of the heroine.   உள்ளுறை:  பழைய உரை: பூத்துப் பயன்படாக் கரும்பினையும் காய்த்துப் பயன்படும் நெல்லினையுடைய ஊரன் என்றது, ஈன்று பயன்படாத பொது மகளிரையும் பயன்படும் குலமகளிரையும் ஒப்ப நினைப்பான் என்றவாறு.  இலக்கணக் குறிப்பு:  ஆர்க, ஓதுக – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, ஆகற்க – வியங்கோள் எதிர்மறை, negative command, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, பகைவர் புல் ஆர்க – may enemies eat grass, பார்ப்பார் ஓதுக – may Brahmins chant, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, பூத்த கரும்பின் – with flowering sugarcanes, காய்த்த நெல்லின் – with mature rice paddy, கழனி ஊரன் மார்பு – the chest of man from the town with fields, பழனம் ஆகற்க – may it not become common land, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
5.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
பசியில் ஆகுக, பிணி சேண் நீங்குக,
என வேட்டோளே யாயே, யாமே,
முதலை போத்து முழு மீன் ஆரும்
தண்துறை ஊரன் தேர், எம்
முன்கடை நிற்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May there be no hunger!
May diseases go far away!
So desired my friend!
We desired that the man from the
cool shore, where male crocodiles
swallow huge fish, come in his
chariot and wait in our front yard.
","  The unfaithful hero returns home to the heroine who accepts him.  He asks the heroine’s friend about how the heroine managed in his absence.  The heroine’s friend utters these words which reveal the fine traits of the heroine.   உள்ளுறை:  பழைய உரை: முதலை போத்து முழு மீன் ஆரும் தண்துறை ஊரன் என்றது, ஒருங்கு வாழ்வாரைப் பழைமை நோக்காது உயிர் கவர்வான் என்பதாம்.  முதலை போத்து (3) – பொ. வே. சோமசுந்தரனார் உரை – ஆண் முதலை, ஒளவை துரைசாமி உரை – இள முதலை.  இலக்கணக் குறிப்பு:  ஆகுக, நீங்குக, நிற்க – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, பசி இல் ஆகுக – may there be no hunger, பிணி சேண் நீங்குக – may disease go far away, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, முதலை போத்து – male crocodile, முழு மீன் ஆரும் – swallows fat fish, swallows huge fish, தண்துறை ஊரன் – the man from town with cool shore, தேர் – chariot, எம் – our, முன்கடை நிற்க – should stand in the front yard, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
6.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
வேந்து பகை தணிக, யாண்டு பல நந்துக,
என வேட்டோளே யாயே, யாமே,
மலர்ந்த பொய்கை முகைந்த தாமரைத்
தண்துறை ஊரன் வரைக,
எந்தையும் கொடுக்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May the king’s enemies go away!
May he thrive for many years!
So desired my friend!
We desired that the man from the
cool shore,
where lotus plants puts out buds
in large ponds, come and marry her,
with the consent of our father.
","  The hero who married the heroine after their secret love which continued for long, asks the heroine’s friend about how the heroine managed during that time.  She responds with these words.   உள்ளுறை:  பொ. வே. சோமசுந்தரனார் உரை – பொய்கைய்க்கண் அரும்பெடுத்த தாமரையுடைய தண்துறை என்றது, சிறந்த குடியின்கண் தோன்றிய எம்பெருமான் வாழ்க்கைத் துணைவியைத் தேர்ந்து கொண்டனை, அவளும் அறவாழ்க்கைக்குச் சமைந்து நின்றாள்.  அவளை மணந்துகொண்டு நீ பல்லாண்டு வாழ வேண்டும் என்னும் குறிப்புடையேம் யாங்கள் என்னும் உள்ளுறை பொருளுடையது என்க.  இலக்கணக் குறிப்பு:  தணிக, நந்துக, கொடுக்க, வரைக – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive, எந்தை – என் தந்தை என்றதன் மரூஉ.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, வேந்து பகை தணிக – may the king’s enemies go away, யாண்டு பல நந்துக – may he flourish for many years, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, மலர்ந்த பொய்கை – wide ponds, முகைந்த தாமரை – lotus plants that put out buds, தண்துறை ஊரன் – the man from town with cool shore, வரைக – may he marry her, எந்தையும் கொடுக்க – our father should give her hand in marriage, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
7.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
அறன் நனி சிறக்க, அல்லது கெடுக,
என வேட்டோளே யாயே, யாமே,
உளைப்பூ மருதத்துக் கிளைக் குருகு இருக்கும்
தண்துறை ஊரன், தன்னூர்க்
கொண்டனன் செல்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May virtue flourish abundantly!
May evil be destroyed!
So desired my friend!
We desired that the man from the
town with a cool shore with
marutham trees, with tufted flowers,
on which flocks of heron sit,
would take her along when he leaves.
","  The hero who married the heroine after their secret love which continued for long, asks the heroine’s friend about how the heroine managed during that time.  She responds with these words.  The heroine’s friend utters these words which reveal the fine traits of the heroine.   உள்ளுறை:  தி. சதாசிவ ஐயர் உரை – உளைப்பூ மருதத்துக் கிளைக் குருகு இருக்கும் தண்துறை ஊரன் என்றது, செல்வமனைக்கண் கிளையோடு கிளைஞர் குறைவின்றி வாழும் ஊரன் என்றதாம்.  இலக்கணக் குறிப்பு:  அறன் – அறம் என்பதன் போலி, சிறக்க, கெடுக, செல்க – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive, கொண்டனன் – முற்றெச்சம்.  நனி – உறு தவ நனி என வரூஉம் மூன்றும் மிகுதி செய்யும் பொருள என்ப (தொல்காப்பியம், உரியியல் 3).
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, அறன் நனி சிறக்க – may virtue flourish greatly, அல்லது கெடுக – may evil be ruined, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, உளைப்பூ மருதத்து – on the marutham trees with tufted flowers, Arjuna Tree, Terminalia arjuna, கிளைக் குருகு இருக்கும் – flocks of cranes/herons sit on the trees, தண்துறை ஊரன் – the man from cool shore, தன்னூர் – his town, கொண்டனன் செல்க – he should take along and leave, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
8.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
அரசு முறை செய்க, களவு இல் ஆகுக,
என வேட்டோளே யாயே, யாமே,
அலங்கு சினை மாஅத்து அணி மயில் இருக்கும்
பூக்கஞல் ஊரன், சூள் இவண்
வாய்ப்பதாக, என வேட்டோமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May the king rule with justice!
May there be no stealing!
So desired my friend!
We desired that the man from the
town with abundant flowers,
where a beautiful peacock rests
on a swaying branch of a mango
tree,
make his promises become truths.
","  The hero who married the heroine after their secret love which continued for long, asks the heroine’s friend about how the heroine managed during that time.  She responds with these words.  உள்ளுறை:  பொ. வே. சோமசுந்தரனார் உரை – மாமரத்தின்கண் அணிமயில் இருக்கும் ஊரன் என்றதற்கு, அது போல எம் பெருமானுடைய சுற்றம் கெழுமிய அறத் திருமனைக்கு விளக்காக எம்பெருமாட்டி வீற்றிருந்து அணி செய்வாளாக என்று விரும்பினேம் என்பது.  இலக்கணக் குறிப்பு:  செய்க, ஆகுக, வாய்ப்பதாக – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive, மாஅத்து – அத்து சாரியை.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, அரசு முறை செய்க – may the king rule with justice, களவு இல் ஆகுக – may there be no stealing, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, அலங்கு சினை – swaying branch, மாஅத்து – of a mango tree, அணி மயில் இருக்கும் – beautiful peacock is there, பூக்கஞல் ஊரன் – the man from the town with abundant flowers, சூள் – promise, இவண் – here, வாய்ப்பதாக – to become truths, to happen, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
9.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
நன்று பெரிது சிறக்க, தீது இல் ஆகுக,
என வேட்டோளே யாயே, யாமே,
கயல் ஆர் நாரை போர்வில் சேக்கும்
தண்துறை ஊரன் கேண்மை,
அம்பல் ஆகற்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May goodness flourish abundantly!
May there be no evil!
So desired my friend!
We desired that the love of the man
from the cool shore town,
where a stork gorges on carp fish
and rests on a haystack, not be
slandered.
","  The hero who married the heroine after their secret love which continued for long, asks the heroine’s friend about how the heroine managed during that time.  She responds with these words.  உள்ளுறை:  ஒளவை துரைசாமி உரை – தலைவியின் நலன் உண்டவன் அவளை உடனே வரைந்து கொள்ள நினையாது வரைவிடை வைத்துப் பிரிந்து தன் மனைக் கண்ணே தங்கினான் எனத் தான் அக்காலத்தில் கருதியமை தோன்ற, கயல் ஆர் நாரை போர்வில் சேக்கும் தண்துறை ஊரன் என உள்ளுறைத்தாள்.  தி. சதாசிவ ஐயர் உரை – கயல் ஆர் நாரை போர்வில் சேக்கும் தண்துறை ஊரன் என்றது, நாரை இரை தப்பாது கவர்ந்து கொள்ளற்குக் காலம் பார்த்துத் தங்கியிருத்தல்போல அவனும் தப்பாது வரைந்து கொள்ளும் ஊரன் என்பதாம்.  இலக்கணக் குறிப்பு:  சிறக்க, ஆகுக – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive, ஆகற்க – வியங்கோள் எதிர்மறை, negative command.
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, நன்று பெரிது சிறக்க – may goodness flourish well, தீது இல் ஆகுக – may there be no evil, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, கயல் ஆர் – fish eating, Cyprinus fimbriatus, நாரை – could be crane, pelican or stork according to the University of Madras Lexicon, போர்வில் சேக்கும் – reaches a haystack, goes to a haystack, தண்துறை ஊரன் – the man from cool shore town, கேண்மை – friendship, love, அம்பல் ஆகற்க – may it not be slandered, may it not become gossip, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
10.0, ஓரம்போகியார்,"வாழி ஆதன்! வாழி அவினி!
மாரி வாய்க்க, வளம் நனி சிறக்க,
என வேட்டோளே யாயே, யாமே,
பூத்த மாஅத்துப் புலால் அம் சிறுமீன்
தண்துறை ஊரன், தன்னொடு
கொண்டனன் செல்க, என வேட்டேமே.
"," Marutham Thinai – What the heroine’s friend said to the hero
Long live Āthan!  Long live Avini!
May rains shower!
May there be flourishing abundance!
So desired my friend!
We desired that the man from the cool
shore town with flowering mango
trees and tiny, stinking fish,
take her along with him when he goes.
வேழம் பத்து – Ten on Reeds
Poems 11 – 20 are called ‘வேழம் பத்து’.  வேழம் means reeds.  In this set of poems reeds are used to describe infidelity situations.  The reeds are compared to the concubines.  Reeds are used as floats in poem 15.  In poem 20, the heroine’s ruined life is compared to ruined dragonfly eggs.  The heroine’s friend uses the word ‘we’ and ‘us’ since both the women are very close friends.   All the poems in this set are uttered by the heroine to her friend except poem 16, which is spoken by her friend to the messenger bard.
","  The hero who married the heroine after their secret love which continued for long, asks the heroine’s friend about how the heroine managed during that time.  She responds with these words.  உள்ளுறை: பொ. வே. சோமசுந்தரனார் உரை – மலர்ந்து மணங்கமழும் மாமரத்தையும் புலால் நாறும் சிறுமீனையும் ஒருங்கே தண்துறை உடைத்தாற்போன்று இவ்வூரின்கண், நின்னை அகமலர்ந்து வரவேற்கும் யாங்களும் உளேம், அலர் தூற்றும் சிறுபுன்மாக்களும் உளர்.  ஆதலால் எம்பெருமான் விரைந்து தலைவியை உடன்கொண்டு செல்க என்று விரும்பினேம் என்னும் குறிப்புடையது என்க.  இலக்கணக் குறிப்பு:  வாய்க்க, சிறக்க, செல்க – வியங்கோள் வினைமுற்றுக்கள், வேட்டோள் – வேட்டாள் என்பது வேட்டோள் எனத் திரிந்தது, யாமே – ஏகாரம் பிரிநிலை, exclusion, யாயே – ஏகாரம் தேற்றம், certainty, வேட்டோளே – ஏகாரம் அசை நிலை, an expletive, வேட்டேமே – ஏகாரம் அசை நிலை, an expletive, மாஅத்து – அத்து சாரியை,  கொண்டனன் – முற்றெச்சம்.  நனி – உறு தவ நனி என வரூஉம் மூன்றும் மிகுதி செய்யும் பொருள என்ப (தொல்காப்பியம், உரியியல் 3).
","   வாழி ஆதன் – long live Āthan, வாழி அவினி – long live Avini, மாரி வாய்க்க – may the rains fall, வளம் நனி சிறக்க – may there be flourishing abundance, என – thus, வேட்டோளே – she desired, யாயே – friend, யாமே – we, பூத்த மாஅத்து – with flowering mango trees, புலால் அம் சிறுமீன் – stinking beautiful small fish, தண்துறை ஊரன் – the man from town with cool shore, தன்னொடு – along with him, கொண்டனன் செல்க – take her along and leave, என – thus, வேட்டேமே – we desired
", Ōrampōkiyār," மருதத் திணை – தோழி தலைவனிடம் சொன்னது
"
