poem_id,poet_name,poem,translation,notes,meaning,poet_name_e,title,title_e
1.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
2.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
3.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
4.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
5.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
6.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
7.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
8.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
9.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
10.0, பாடல் கிடைக்கவில்லை,"பாடல் கிடைக்கவில்லை
","song not available 
",not available,, Song not available,"   
","   
"
