poem_type,poem
அகநானூறு,"வண்டு படத் ததைந்த கண்ணி ஒண்கழல்
உருவக் குதிரை மழவர் ஓட்டிய
முருகன் நற்போர் நெடுவேள் ஆவி
அறு கோட்டு யானைப் பொதினி யாங்கண்
சிறு காரோடன் பயினொடு சேர்த்திய  
கல் போல் பிரியலம் என்ற சொல் தாம்
மறந்தனர் கொல்லோ தோழி சிறந்த
வேய் மருள் பணைத்தோள் நெகிழச் சேய் நாட்டுப்
பொலங்கல வெறுக்கை தருமார் நிலம் பக
அழல் போல் வெங்கதிர் பைது அறத் தெறுதலின்  
நிழல் தேய்ந்து உலறிய மரத்த அறை காய்பு
அறு நீர்ப் பைஞ்சுனை ஆம் அறப் புலர்தலின்
உகு நெல் பொரியும் வெம்மைய யாவரும்
வழங்குநர் இன்மையின் வௌவுநர் மடிய
சுரம் புல்லென்ற ஆற்ற அலங்கு சினை 
நாரில் முருங்கை நவிரல் வான் பூச்
சூரலங்கடு வளி எடுப்ப ஆருற்று
உடை திரைப் பிதிர்வின் பொங்கி முன்
கடல் போல் தோன்றல காடு இறந்தோரே 
"
அகநானூறு,"கோழ் இலை வாழைக் கோள் முதிர் பெருங்குலை
ஊழுறு தீங்கனி உண்ணுநர்த் தடுத்த
சாரல் பலவின் சுளையொடு ஊழ்படு
பாறை நெடுஞ்சுனை விளைந்த தேறல்
அறியாது உண்ட கடுவன் அயலது  
கறி வளர் சாந்தம் ஏறல் செல்லாது
நறுவீ அடுக்கத்து மகிழ்ந்து கண்படுக்கும்
குறியா இன்பம் எளிதின் நின் மலைப்
பல் வேறு விலங்கும் எய்தும் நாட
குறித்த இன்பம் நினக்கெவன் அரிய  
வெறுத்த ஏஎர் வேய் புரை பணைத்தோள்
நிறுப்ப நில்லா நெஞ்சமொடு நின் மாட்டு
இவளும் இனையள் ஆயின் தந்தை
அருங்கடிக் காவலர் சோர்பதன் ஒற்றிக்
கங்குல் வருதலும் உரியை பைம்புதல்  
வேங்கையும் ஒள் இணர் விரிந்தன
நெடுவெண்திங்களும் ஊர் கொண்டன்றே  
"
அகநானூறு,"இருங்கழி முதலை மேஎந்தோல் அன்ன
கருங்கால் ஓமைக் காண்பு இன் பெருஞ்சினை
கடியுடை நனந்தலை ஈன்று இளைப்பட்ட
கொடுவாய்ப் பேடைக்கு அல்கு இரை தரீஇய
மான்று வேட்டு எழுந்த செஞ்செவி எருவை  
வான் தோய் சிமைய விறல் வரைக் கவாஅன்
துளங்கு நடை மரையா வலம்படத் தொலைச்சி
ஒண் செங்குருதி உவற்றி உண்டு அருந்துபு
புலவுப் புலி துறந்த கலவுக் கழிக் கடு முடை
கொள்ளை மாந்தரின் ஆனாது கவரும்  
புல் இலை மராஅத்த அகல் சேண் அத்தம்
கலந்தரல் உள்ளமொடு கழியக் காட்டிப்
பின் நின்று துரக்கும் நெஞ்சம் நின் வாய்
வாய் போல் பொய்ம்மொழி எவ்வமென் களைமா
கவிர் இதழ் அன்ன காண்பு இன் செவ்வாய்  
அம் தீம் கிளவி ஆயிழை மடந்தை
கொடுங்குழைக்கு அமர்த்த நோக்கம்
நெடுஞ்சேண் ஆரிடை விலங்கும் ஞான்றே  
"
அகநானூறு,"முல்லை வைந்நுனை தோன்ற இல்லமொடு
பைங்கால் கொன்றை மெல் பிணி அவிழ
இரும்பு திரித்தன்ன மா இரு மருப்பின்
பரல் அவல் அடைய இரலை தெறிப்ப
மலர்ந்த ஞாலம் புலம்பு புறக்கொடுப்ப  
கருவி வானம் கதழுறை சிதறிக்
கார் செய்தன்றே கவின் பெறு கானம்
குரங்கு உளைப் பொலிந்த கொய் சுவல் புரவி
நரம்பு ஆர்த்தன்ன வாங்கு வள் பரிய
பூத்த பொங்கர்த் துணையொடு வதிந்த  
தாது உண் பறவை பேதுறல் அஞ்சி
மணி நா ஆர்த்த மாண் வினைத் தேரன்
உவக்காண் தோன்றும் குறும்பொறை நாடன்
கறங்கு இசை விழவின் உறந்தைக் குணாது
நெடும் பெருங்குன்றத்து அமன்ற காந்தள்  
போது அவிழ் அலரின் நாறும்
ஆய் தொடி அரிவை நின் மாண் நலம் படர்ந்தே  
"
அகநானூறு,"அளி நிலை பொறாஅது அமரிய முகத்தள்
விளி நிலை கொள்ளாள் தமியள் மென்மெல
நலமிகு சேவடி நிலம் வடுக்கொளாஅக்
குறுக வந்து தன் கூர் எயிறு தோன்ற
வறிது அகத்து எழுந்த வாயல் முறுவலள்  
கண்ணியது உணரா அளவை ஒண்ணுதல்
வினை தலைப்படுதல் செல்லா நினைவுடன்
முளிந்த ஓமை முதையலம் காட்டுப்
பளிங்கத்து அன்ன பல் காய் நெல்லி
மோட்டு இரும் பாறை ஈட்டு வட்டு ஏய்ப்ப  
உதிர்வன படூஉம் கதிர் தெறு கவாஅன்
மாய்த்த போல மழுகு நுனை தோற்றி
பாத்தியன்ன குடுமிக் கூர்ங்கல்
விரல் நுதி சிதைக்கும் நிரை நிலை அதர
பரல் முரம்பு ஆகிய பயம் இல் கானம்  
இறப்ப எண்ணுதிர் ஆயின் அறத்தாறு
அன்று என மொழிந்த தொன்றுபடு கிளவி
அன்ன ஆக என்னுநள் போல
முன்னம் காட்டி முகத்தின் உரையா
ஓவச் செய்தியின் ஒன்று நினைந்து ஒற்றி  
பாவை மாய்த்த பனி நீர் நோக்கமொடு
ஆகத்து ஒடுக்கிய புதல்வன் புன்தலைத்
தூ நீர் பயந்த துணையமை பிணையல்
மோயினள் உயிர்த்த காலை மா மலர்
மணி உரு இழந்த அணி அழி தோற்றம்  
கண்டு கடிந்தனம் செலவே ஒண்தொடி
உழையம் ஆகவும் இனைவோள்
பிழையலள் மாதோ பிரிதும் நாம் எனினே  
"
அகநானூறு,"அரி பெய் சிலம்பின் ஆம்பல் அம் தொடலை
அரம் போழ் அவ் வளைப் பொலிந்த முன்கை
இழை அணி பணைத்தோள் ஐயை தந்தை
மழை வளம் தரூஉம் மா வண்  தித்தன்
பிண்ட நெல்லின் உறந்தை ஆங்கண்  
கழை நிலை பெறாஅக் காவிரி நீத்தம்
குழை மாண் ஒள்ளிழை நீ வெய்யோளொடு
வேழ வெண்புணை தழீஇப் பூழியர்
கயம் நாடு யானையின் முகன் அமர்ந்து ஆங்கு
ஏந்து எழில் ஆகத்து பூந்தார் குழைய  
நெருநல் ஆடினை புனலே இன்று வந்து
ஆக வன முலை அரும்பிய சுணங்கின்
மாசு இல் கற்பின் புதல்வன் தாய் என
மாயப் பொய்ம்மொழி சாயினை பயிற்றி எம்
முதுமை எள்ளல் அஃது அமைகும் தில்ல  
சுடர்ப் பூந்தாமரை நீர் முதிர் பழனத்து
அம் தூம்பு வள்ளை ஆய் கொடி மயக்கி
வாளை மேய்ந்த வள் எயிற்று நீர்நாய்
முள்ளரைப் பிரம்பின் மூதரில் செறியும்
பல் வேல் மத்தி கழாஅர் அன்ன எம்  
இளமை சென்று தவத் தொல்லஃதே
இனிமை எவன் செய்வது பொய்ம்மொழி எமக்கே  
"
அகநானூறு,"முலை முகம் செய்தன முள் எயிறு இலங்கின
தலை முடி சான்று தண் தழை உடையை
அலமரல் ஆயமொடு யாங்கணும் படாஅல்
மூப்புடை முது பதி தாக்கு அணங்கு உடைய
காப்பும் பூண்டிசின் கடையும் போகலை  
பேதை அல்லை மேதை அம் குறுமகள்
பெதும்பைப் பருவத்து ஒதுங்கினை புறத்து என
ஒண் சுடர் நல் இல் அருங்கடி நீவி
தன் சிதைவு அறிதல் அஞ்சி இன் சிலை
ஏறுடை இனத்த நாறு உயிர் நவ்வி  
வலை காண் பிணையின் போகி ஈங்கு ஓர்
தொலைவு இல் வெள் வேல் விடலையொடு என் மகள்
இச் சுரம் படர்தந்தோளே ஆயிடை
அத்தக் கள்வர் ஆ தொழு அறுத்தென
பிற்படு பூசலின் வழிவழி ஓடி 
மெய்த் தலைப்படுதல் செய்யேன் இத்தலை
நின்னொடு வினவல் கேளாய் பொன்னொடு
புலிப்பல் கோத்த புலம்பு மணித் தாலி
ஒலிக் குழைச் செயலை உடை மாண் அல்குல்
ஆய் சுளைப் பலவின் மேய் கலை உதிர்த்த  
துய்த்தலை வெண்காழ் பெறூஉம்
கல் கெழு சிறுகுடிக் கானவன் மகளே  
"
அகநானூறு,"ஈயல் புற்றத்து ஈர்ம் புறத்து இறுத்த
குரும்பி வல்சிப் பெருங்கை ஏற்றைக்
தூங்கு தோல் துதிய வள் உகிர் கதுவலின்
பாம்பு மதன் அழியும் பானாள் கங்குலும்
அரிய அல்ல மன் இகுளை பெரிய  
கேழல் அட்ட பேழ் வாய் ஏற்றைப்
பலா அமல் அடுக்கம் புலாவ ஈர்க்கும்
கழை நரல் சிலம்பின் ஆங்கண் வழையொடு
வாழை ஓங்கிய தாழ் கண் அசும்பில்
படு கடுங்களிற்றின் வருத்தம் சொலியப்  
பிடி படி முறுக்கிய பெரு மரப் பூசல்
விண் தோய் விடர் அகத்து இயம்பும் அவர் நாட்டு
எண் அரும் பிறங்கல் மான் அதர் மயங்காது
மின்னு விடச் சிறிய ஒதுங்கி மென்மெலத்
துளி தலைத்தலைஇய மணி ஏர் ஐம்பால்  
சிறுபுறம் புதைய வாரி குரல் பிழியூஉ
நெறி கெட விலங்கிய நீயிர் இச் சுரம்
அறிதலும் அறிதிரோ என்னுநர்ப் பெறினே  
"
அகநானூறு,"கொல் வினைப் பொலிந்த கூர்ங்குறு புழுகின்
வில்லோர் தூணி வீங்கப் பெய்த
அப்பு நுனை ஏய்ப்ப அரும்பிய இருப்பை
செப்பு அடர் அன்ன செங்குழை அகந்தோறு
இழுதின் அன்ன தீம் புழல் துய்வாய்  
உழுது காண் துளையவாகி ஆர் கழல்பு
ஆலி வானின் காலொடு பாறித்
துப்பின் அன்ன செங்கோட்டு இயவின்
நெய்த்தோர் மீமிசை நிணத்தின் பரிக்கும்
அத்தம் நண்ணிய அம் குடிச் சீறூர்  
கொடு நுண் ஓதி மகளிர் ஓக்கிய
தொடி மாண் உலக்கைத் தூண்டு உரல் பாணி
நெடுமால் வரைய குடிஞையோடு இரட்டும்
குன்று பின் ஒழியப் போகி உரம் துரந்து
ஞாயிறு படினும் ஊர் சேய்த்து எனாது  
துனை பரி துரக்கும் துஞ்சா செலவின்
எம்மினும் விரைந்து வல் எய்திப் பல் மாண்
ஓங்கிய நல் இல் ஒரு சிறை நிலைஇ
பாங்கர்ப் பல்லி படுதொறும் பரவிக்
கன்று புகு மாலை நின்றோள் எய்தி  
கை கவியாச் சென்று கண் புதையாக் குறுகி
பிடிக்கை அன்ன பின்னகம் தீண்டி
தொடிக்கை தைவரத் தோய்ந்தன்று கொல்லோ
நாணொடு மிடைந்த கற்பின் வாணுதல்
அம் தீம் கிளவிக் குறுமகள்  
மென் தோள் பெற நசைஇச் சென்ற என் நெஞ்சே  
"
அகநானூறு,"வான் கடல் பரப்பில் தூவற்கு எதிரிய
மீன் கண்டன்ன மெல்லரும்பு ஊழ்த்த
முடவு முதிர் புன்னைத் தடவு நிலை மாச்சினை
புள் இறை கூரும் மெல்லம்புலம்ப
நெய்தல் உண்கண் பைதல கலுழப்  
பிரிதல் எண்ணினை ஆயின் நன்றும்
அரிது துற்றனையால் பெரும உரிதினில்
கொண்டு ஆங்குப் பெயர்தல் வேண்டும் கொண்டலொடு
குரூஉத் திரைப் புணரி உடைதரும் எக்கர்ப்
பழந்திமில் கொன்ற புது வலைப் பரதவர்  
மோட்டு மணல் அடைகரைக் கோட்டு மீன் கொண்டி
மணங்கமழ் பாக்கத்துப் பகுக்கும்
வளங்கெழு தொண்டி அன்ன இவள் நலனே  
"
