poem_id,poet_name,poem,translation,notes,meaning,poet_name_e,title,title_e
1.0,கணிமேதாவியார்,"நறை படர் சாந்தம் அற எறிந்து நாளால்
உறை எதிர்ந்து வித்திய ஊழ் ஏனல் பிறை எதிர்ந்த
தாமரை போல் வாள் முகத்துத் தாழ் குழலீர் காணீரோ
ஏ மரை போந்தன ஈண்டு
","Oh young women with
flowing hair,
and faces as bright as the
lotus blossoms that
see the crescent moon,
who protect your mature
millet field cleared totally
of sandal trees with fragrant
narai vines wound on them,
and seeded on the first day
of rain!
Have you seen a deer I was
hunting, stuck with an arrow?
",தலைவியும் தோழியும் ஒன்றாக இருந்தபோதுச் சென்று தலைவன் தோழியை மதியுடம்படுத்தது.  மதியுடம்படுத்தல் – தோழியின் அறிவுப்போக்கினைத் தலைவன் தன் விருப்பத்தை (தலைவியை அடையும் விருப்பத்தை) நிறைவேற்றத் தகுதியாக மாற்றுதல்.,"நறை படர் சாந்தம் – sandal trees with fragrant narai vines growing on it, அற எறிந்து – destroyed them totally, நாளால் உறை எதிர்ந்து – waited for the days with rain, வித்திய – seeded, ஊழ் ஏனல் – mature millet field, பிறை எதிர்ந்த தாமரை போல் – like lotus that accepts the crescent moon, வாள் முகத்து – bright-faced, தாழ் குழலீர் – you women with flowing/hanging hair, காணீரோ – did you see, ஏ – arrow, மரை – elk, deer, போந்தன ஈண்டு – come here",Kani Methaaviyaar,"குறிஞ்சி தலைவன் தலைவியிடமும் தோழியிடமும் சொன்னது
","Kurinji What the hero said to the heroine and her friend
"
2.0,கணிமேதாவியார்,"சுள்ளி சுனை நீலம் சோபாலிகை செயலை
அள்ளி அளகத்தின் மேலாய்ந்து தெள்ளி
இதணால் கடியொடுங்கா ஈர்ங் கடா யானை
உதணால் கடிந்தான் உளன்
","She was on the tall platform,
clearly unable to protect
herself from a musth-flowing,
bull elephant.
He chased it away, attacking it
with his arrow tip,
and then adorned her hair with
the flowers of anicham, blue
kuvalai from a spring, adumpu
and asoka.
",தோழி செவிலிக்கு அறத்தொடு நின்றது.,"சுள்ளி – anicham flowers, சுனை நீலம் – kuvalai flowers, blue waterlilies in the spring/pond, சோபாலிகை – adumpu flowers, brightness – according to some commentaries, செயலை – asoka flowers, அள்ளி – collected/plucked, அளகத்தின் மேலாய்ந்து – placed them on her hair, தெள்ளி – clearly, இதணால் – on the tall platform, கடி ஒடுங்கா – unable to protect (herself), ஈர்ங் கடா யானை – musth-flowing elephant, உதணால் – with the tip of the arrow, கடிந்தான் உளன் – he chased it/protected her",Kani Methaaviyaar,"குறிஞ்சி தோழி செவிலியிடம் சொன்னது
","Kurinji What the heroine’s friend said to the foster mother
"
3.0,கணிமேதாவியார்,"சாந்தம் எறிந்து உழுத சாரல் சிறு தினைச்
சாந்தம் எறிந்த இதண் மிசைச் சாந்தம்
கமழக் கிளி கடியும் கார் மயில் அன்னாள்
இமிழக் கிளி எழா ஆர்த்து
","My friend, pretty like a
monsoon peacock,
seated on the tall platform built
with sandalwood that wafts
fragrance,
on the mountain slope where
sandalwood trees were removed
and the land plowed, raises her
voice to chase parrots that come
for tiny millet, but they do not fly
away with uproars on hearing her.
",பகற்குறிக்கண் வந்த தலைவனைக் கண்டு தோழி அறிவுறுத்தியது.  The friend is letting the hero know that the heroine’s family has stopped sending her to the millet field since she is unable to do her assigned work. The suggestion is for him to come and marry her. Natrinai 351 has a reference to a platform built with sandalwood.,"சாந்தம் எறிந்து – removing sandalwood trees, உழுத – plowed, சாரல் – mountain slopes, சிறு தினை – tiny millet, சாந்தம் எறிந்த இதண் மிசை – on the tall platform made with sandal wood, சாந்தம் கமழ – with spreading sandal fragrance, கிளி கடியும் – she chases parrots, கார் மயில் அன்னாள் – one like rainy season peacocks, இமிழ – when she raises her voice, கிளி எழா ஆர்த்து – parrots do not fly away with uproar",Kani Methaaviyaar,"குறிஞ்சி தோழி தலைவனிடம் சொன்னது
","Kurinji What the heroine’s friend said to the hero
"
4.0,கணிமேதாவியார்,"கோடா புகழ் மாறன் கூடல் அனையாளை
ஆடா அடகினும் காணேன் போர் வாடாக்
கருங்கொல் வேல் மன்னர் கலம் புக்க கொல்லோ
மருங்குல் கொம்பன்னாள் மயிர்
","I am not able to see her in
the playground, the young
woman who is lovely like
Koodal city of famed Māran
with a righteous scepter.
Is the hair of the young
woman with a vine-like waist,
like the crown of a king with
murderous spears made by
blacksmiths, who does not
back away from battles?
","தலைவி இற்செறித்த காலத்துப் புனத்தின்கண் வந்த தலைவன் தலைவியைக் காணாது, ஆற்றாது பெயர்கின்றபோது உரைத்தது.","கோடா – not unjust, just, புகழ் மாறன் கூடல் அனையாளை – one who is like Koodal of Pāndiyan with fame, ஆடா அடகினும் காணேன் – I do now see her where they play games ஆடா அடகு – அடா அடகு, சமைக்காத இலை, கீரை என்ற பெயரையுடைய விளையாட்டு, அடா – ஆடா, நீட்டல் விகாரம்), போர் வாடா – not fearing wars, not backing off, கருங்கொல் வேல் மன்னர் – king with murderous spears made by blacksmiths, கலம் புக்க கொல்லோ – is it together like a crown, மருங்குல் கொம்பு அன்னாள் – the woman who has a vine-like waist, மயிர் – hair",Kani Methaaviyaar,"குறிஞ்சி தலைவன் சொன்னது
","Kurinji What the hero said
"
5.0,கணிமேதாவியார்,"வினை விளையச் செல்வம் விளைவது போல் நீடாப்
பனை விளைவு நாம் எண்ணப் பாத்தித் தினை விளைய 
மையார் தடங்கண் மயிலன்னாய் தீத் தீண்டு
கையார் பிரிவித்தல் காண்
","Oh friend of kohl-lined,
large eyes, and peacock
nature!
Like wealth that grows when
actions grow, we thought of
panai quantity of happiness.
The millet in our field has
matured.
Look!  The vēngai trees have
blossomed announcing the
harvest time after which fires
will be lit by farmers,
separating you from him.
",தலைவிக்குச் சொல்லுவாளாய் தோழி இற்செறிப்பு அறிவுறுத்தியது.,"வினை விளைய- actions grow, செல்வம் விளைவது போல் – like wealth grows, நீடா – not leaving, பனை விளைவு – huge quantity called panai, நாம் எண்ண – as we thought, பாத்தித் தினை விளைய – for millet to grow in the field plant beds, மை ஆர் – kohl-filled, தடங்கண் – large eyes, மயில் அன்னாய் – oh one who is of peacock nature, தீத் தீண்டு – those who light fire (after the end of harvest), கையார் – vēngai trees, வேங்கையார் (எள்ளல் குறிப்பு), kino trees, Pterocarpus marsupium, பிரிவித்தல் – causing separation, காண் – look",Kani Methaaviyaar,"குறிஞ்சி தோழி தலைவியிடம் சொன்னது  சிறைப்புறத்தானாகிய தலைவன் கேட்கும்படி
","Kurinji What the heroine’s friend said to her  as the hero listened nearby
"
6.0,கணிமேதாவியார்,"மானீல மாண்ட துகில் உமிழ்வது ஒத்த அருவி
மானீல மால் வரை நாட கேள் மா நீலம்
காயும் வேல் கண்ணாள் கனை இருளின் நீ வர
ஆயுமோ மன்ற நீ ஆய்
","Oh man from the lofty,
bewildering blue mountains
with sapphire gems,
where waterfalls flow down
like lovely white fabric spit
out by the mountains! Listen!
Can she analyze you coming
in pitch darkness,
the young woman with spear-like
eyes that are hated by the blue
waterlilies?  You need to think
about it!
",இரவுக்குறி வேண்டிய தலைவனுக்குத் தோழி மறுத்து உரைத்தது.  அகநானூறு 11 – வம்பு விரித்தன்ன பொங்கு மணல் கான்யாற்று.,"மால் நீலம் – tall mountains with sapphire gems, மாண்ட துகில் உமிழ்வது ஒத்த அருவி – waterfalls that are like lovely white fabric being spit out, மால் – bewildering, நீலம் – blue, மால் வரை நாட – oh man from the tall mountains, கேள் – listen, மா நீலம் காயும் – blue waterlilies are enraged (with envy), வேல் கண்ணாள் – the young woman with eyes that are like spears, கனை இருளின் நீ வர – as you come in pitch darkness, ஆயுமோ – can she analyze it, மன்ற – அசைநிலை, an expletive, நீ ஆய் – you analyze this",Kani Methaaviyaar,"குறிஞ்சி தோழி தலைவியிடம் சொன்னது
","Kurinji What the heroine’s friend said to her
"
7.0,கணிமேதாவியார்,"கறிவளர் பூஞ்சாரல் கைந்நாகம் பார்த்து
நெறி வளர் நீள் வேங்கை கொட்கும் முறி வளர்
நன்மலை நாட இரவரின் வாழாளால்
நன்மலை நாடன் மகள்
","Oh man from the fine
mountains with new sprouts,
where huge, adult tigers roam
on the paths looking for
elephants, on the mountain
slopes with flowers where
pepper vines grow!
If you come at night, she will
not live, the daughter of the lord
of a fine mountain.
",இரவுக்குறி வேண்டிய தலைவனுக்குத் தோழி மறுத்து உரைத்தது.,"கறிவளர் – pepper-growing, பூஞ்சாரல் – flowering slopes, கைந்நாகம் பார்த்து – looking for elephants with trunks, நெறி – path, வளர் நீள் வேங்கை கொட்கும் – where grown up (mature) long tigers roam around, முறி வளர் நன்மலை நாட – oh man from the country with fine mountains where sprouts grow, இர வரின் – if you come at night (இர – இரா, இறுதியினின்ற ஆகாரம் குறுகி இர என நின்றது), வாழாளால் – she will not live (ஆல் அசை நிலை), நன்மலை நாடன் மகள் – the daughter of the lord of a fine mountain",Kani Methaaviyaar,"குறிஞ்சி தோழி தலைவியிடம் சொன்னது
","Kurinji What the heroine’s friend said to her
"
8.0,கணிமேதாவியார்,"அவட்காயின் ஐவனம் காவல் அமைந்தது
இவட்காயின் செந்தினை கார் ஏனல் இவட்காயின்
எண்ணுளவால் ஐந்திரண்டு ஈத்தான் கொல் என்னாங் கொல்
கண் உளவால் காமன் கணை
","If they were there, they would
be protection for the field
growing mountain rice.
If they were here, they would
be protection for the red millet
field.
Did Kāman give two of his five
arrows for her eyes? What will
happen to me now?
",பின்னிலை முனியாது நின்ற தலைவன் தோழியை மதியுடம்படுத்தியது.  பின்னிலை முனியாது – தோழியின் பின் நின்று தன குறையை முடித்துக்கொள்ளுதலை வெறுக்காது.,"அவட்காயின் ஐவனம் காவல் அமைந்தது – if they were there they would be protection for the mountain-rice fields, இவட்காயின் செந்தினை கார் ஏனல் – if they were here they would be protection for the red millet field, இவட்காயின் – for her, எண்ணுளவால் ஐந்திரண்டு ஈத்தான் கொல் – did he give two out of the five numbers he had, five arrows of Kaman are mullai, asoka, blue waterlilies, lotus and mango flowers, என்னாங் கொல் – what will happen (to me), கண் உளவால் – her eyes are (உளவால் – ஆல் அசை நிலை), காமன் கணை – arrows of Kāman",Kani Methaaviyaar,"குறிஞ்சி தலைவன் சொன்னது
","Kurinji What the hero said
"
9.0,கணிமேதாவியார்,"வஞ்சமே என்னும் வகைத்தாலோர் மாவினாய்த்
தஞ்சம் தமியனாய்ச் சென்றேன் என் நெஞ்சை
நலங்கொண்டார் பூங்குழலாள் நன்று ஆயத்து அன்று என்
வலங்கொண்டாள் கொண்டாள் இடம்
","This appears like magic.
I went alone looking for
my quarry,
and there she was among
her fine friends, the young
woman donning flowers in
her hair,
who has sapped my strength
and seized my heart.
",பகற்குறியில் தலைவியைக் கண்டவகை கூறித் தன் ஆற்றாமை மிகுதி உரைத்தது.,"வஞ்சமே என்னும் வகைத்தால் – this appears like magic/trickery, ஓர் மாவினாய் – an animal that escaped me while hunting, தஞ்சம் தமியனாய்ச் சென்றேன் – I went alone as my protection, என் நெஞ்சை நலம் கொண்டார் பூங்குழலாள் – the young woman with flowers in her hair took my heart, நன்று ஆயத்து – with fine friends, அன்று என் வலம் கொண்டாள் – she took my strengths, கொண்டாள் இடம் – she took it as hers",Kani Methaaviyaar,"குறிஞ்சி தலைவன் தன் தோழனிடம் சொன்னது
","Kurinji What the hero said to his friend
"
10.0,கணிமேதாவியார்,"கருவிரல் செம்முகம் வெண்பல் சூல் மந்தி
பருவிரலால் பைஞ்சுனை நீர் தூஉய்ப் பெருவரை மேல்
தேன் தேவர்க்கு ஓக்கும் மலை நாட வாரலோ
வான் தேவர் கொட்கும் வழி
","Oh man from the mountains
where a pregnant female monkey
with black fingers, red face and
white teeth, sprinkles water from
a fresh spring with her thick fingers,
and offers honey to the celestials
above the lofty mountains!
Do not come on the path, where
celestials from the sky roam!
",வரைவு கடாயது.,"கருவிரல் – black fingers, செம்முகம் – red-faced, வெண்பல் – white teeth, சூல் மந்தி – a pregnant female monkey, பருவிரலால் பைஞ்சுனை நீர் தூஉய் – sprinkles water from a fresh pond/spring with its thick fingers (தூஉய் – இன்னிசை அளபெடை), பெருவரை மேல் தேன் தேவர்க்கு ஓக்கும் – offers honey to the celestials above the tall mountains, மலை நாட – oh man from the mountains, வாரலோ – do not come (ஓகாரம் அசை நிலை), வான் தேவர் கொட்கும் வழி – the path on which the celestials from the sky roam",Kani Methaaviyaar,"குறிஞ்சி தோழி தலைவனிடம் சொன்னது
","Kurinji What the heroine’s friend said to the hero
"
