poem_id,poet_name,poem,translation,notes,meaning,poet_name_e,title,title_e
1.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"உலகம் உவப்ப வலன் ஏர்பு திரிதரு
பலர் புகழ் ஞாயிறு கடல் கண்டாஅங்கு
ஓவற இமைக்கும் சேண் விளங்கு அவிர் ஒளி
உறுநர்த் தாங்கிய மதன் உடை நோன் தாள்
செறுநர்த் தேய்த்த செல் உறழ் தடக்கை
மறு இல் கற்பின் வாணுதற் கணவன்  – 
","He shines splendidly with a glow at a distance,
like the sun that rises with strength from the ocean
on the right side, glittering without a break,
causing those in the world to be happy,
the god with beautiful, strong feet, large, mighty
hands that are like thunder, who ruined his
enemies and protects those who suffer, husband to
a woman with bright forehead and faultless virtue.
","வலன் ஏர்பு – அகநானூறு 43, 84, 188, 278, 298, 328, நற்றிணை 37, 264, 328, குறுந்தொகை 237, ஐங்குறுநூறு 469, பதிற்றுப்பத்து 24, 31, நெடுநல்வாடை 1, பட்டினப்பாலை 67, முல்லைப்பாட்டு 4, திருமுருகாற்றுப்படை 1.  தட – தடவும் கயவும் நளியும் பெருமை (தொல்காப்பியம், உரியியல் 24).   மதன் உடை நோன் தாள் (4) – ச. வே. சுப்பிரமணியன் உரை – அழகையும் வலிமையையும் உடைய கால்களை உடையவன், பொ. வே. சோமசுந்தரனார் உரை – அறியாமையை உடைத்தற்குக் காரணமான வலிய திருவடிகளையுடையவன்.  செல் உறழ் (5) – ச. வே. சுப்பிரமணியன் உரை – இடி போன்ற, பொ. வே. சோமசுந்தரனார் உரை – இடியோடு மாறுபட்ட.","உலகம் உவப்ப – for those in the world to be happy, வலன் ஏர்பு திரிதரு – rising on the right side and moving, rising with strength and moving, பலர் புகழ் ஞாயிறு கடல் கண்டாஅங்கு – like seeing the sun that many praise that rises from the ocean (கண்டாஅங்கு – இசை நிறை அளபெடை), ஓவு அற இமைக்கும் – glittering without a break, சேண் விளங்கு – shining afar, greatly splendid, அவிர் ஒளி – bright light, உறுநர்த் தாங்கிய – protecting those who are suffering, மதன் உடை நோன் தாள் – beautiful strong feet, strong feet that breaks ignorance in others, செறுநர்த் தேய்த்த – ruined enemies, செல் உறழ் – thunder-like, better than thunder (செல் – முகில், ஆகுபெயராய் இடி என வந்தது, உறழ் – ஒத்த, மாறுபட்ட), தடக்கை – large hands, மறு இல் கற்பின் வாணுதற் கணவன்  – the husband of a woman with faultless virtue and a bright forehead",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா திருப்பரங்குன்றம் குமரவேளின் பெருமை தெய்வயானையின் கணவன்
","Paadaan Thinai aatrupadai Thirupparankundram Splendor of Murukan  Husband to Theivayānai
"
2.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"கார்கோள் முகந்த கமஞ்சூல் மாமழை
வாள் போழ் விசும்பில் வள் உறை சிதறி
தலைப்பெயல் தலைஇய தண் நறுங்கானத்து
இருள்படப் பொதுளிய பராரை மராஅத்து    
உருள் பூந்தண் தார் புரளும் மார்பினன்  – 
","His chest is adorned with a cool garland
woven with round kadampam flowers
resembling the wheels of chariots, that bloom
on thriving, thick-trunked, densely growing
trees, causing darkness in the cool, fragrant
forest where the heavy, first rain fell from dark,
full rainclouds that had absorbed water,
from the sky where darkness is dispelled by
the sun and the moon.
","கமம் – நிறைவு.  கமம் நிறைந்தியலும் (தொல்காப்பியம். உரியியல் 57).  கார்கோள் (7) – பொ. வே. சோமசுந்தரனார் உரை – கடல், காராலே கொள்ளப்படுவது எனும் பொருட்டு, கார் = முகில், கோள் – கொள்ளப்படுவது.","கார்கோள் முகந்த – absorbed from the ocean, drank from the ocean, கமஞ்சூல் மா மழை – full dark clouds, pregnant dark clouds, வாள் போழ் விசும்பில் – in the sky where darkness is split (by the sun and moon), வள் உறை சிதறி – scattered down heavy drops of rain, தலைப்பெயல் தலைஇய தண் நறுங்கானத்து – in the cool fragrant forest where the first rains fall (தலைஇய – சொல்லிசை அளபெடை), இருள்பட – causing darkness, பொதுளிய – thriving, பராரை மராஅத்து – of the kadampam tree with thick trunk (பராரை – பரு அரை பராரை எனப் புணர்ந்தது), உருள் – chariot wheel, rounded, பூந்தண் தார் புரளும் மார்பினன் – he is one with a cool garland moving on his chest",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா கடப்ப மாலை புரளும் மார்பினன்
","Paadaan Thinai aatrupadai Kadampam Garland on his Chest
"
3.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"மால் வரை நிவந்த சேண் உயர் வெற்பில்
கிண்கிணி கவைஇய ஒண் செஞ் சீறடி
கணைக்கால் வாங்கிய நுசுப்பின் பணைத்தோள்
கோபத்து அன்ன தோயாப் பூந்துகில்
பல்காசு நிரைத்த சில்காழ் அல்குல்
கை புனைந்து இயற்றாக் கவின்பெறு வனப்பின்
நாவலொடு பெயரிய பொலம்புனை அவிர் இழை
சேண் இகந்து விளங்கும் செயிர் தீர் மேனி
துணையோர் ஆய்ந்த இணைஈர் ஓதிச்    
செங்கால் வெட்சிச் சீறிதழ் இடைஇடுபு
பைந்தாட் குவளைத் தூவிதழ் கிள்ளி
தெய்வ உத்தியொடு வலம்புரி வயின்வைத்து
திலகம் தைஇய தேம்கமழ் திருநுதல்
மகரப் பகுவாய் தாழ மண்ணுறுத்து
துவர முடித்த துகள் அறும் முச்சிப்
பெருந்தண் சண்பகம் செரீஇ கருந்தகட்டு
உள் ஐப்பூ மருதின் ஒள் இணர் அட்டி
கிளைக் கவின்று எழுதரு கீழ் நீர்ச் செவ்வரும்பு
இணைப்புறு பிணையல் வளைஇ துணைத்தக    
வண் காது நிறைந்த பிண்டி ஒண் தளிர்
நுண் பூண் ஆகம் திளைப்ப திண் காழ்
நறுங்குறடு உரிஞ்சிய பூங்கேழ்த் தேய்வை
தேம் கமழ் மருது இணர் கடுப்ப கோங்கின்
குவி முகிழ் இளமுலைக் கொட்டி விரிமலர்
வேங்கை நுண் தாது அப்பி காண்வர
வெள்ளில் குறுமுறி கிள்ளுபு தெறியா
கோழி ஓங்கிய வென்று அடு விறற்கொடி
வாழிய பெரி என்று ஏத்தி பலர் உடன்
சீர்திகழ் சிலம்பு அகம் சிலம்பப் பாடி …
சூரர மகளிர் ஆடும் சோலை  – 
","Celestial women sing loudly, their music
echoing in the mountains, and dance in a grove
on the lofty mountain with tall bamboo.  They wear
anklets on their bright, red, small feet.  They have
rounded legs, curved waists, bamboo-like arms, clothing
that is in natural color, lovely like pattupoochis, and gold
ornaments with few strands on their waists, their great
beauty not created by hand.  They wear bright jewels that
shine from afar, made with gold from the place with the
name nāval.
Their bodies are faultless and their hair, admired by
their friends, oiled, is adorned with vetchi flowers with
small stems, amidst which are placed petals of kuvalai
flowers with green stems.  Jewels called seedevi are
placed on their right-whorled hair knots that look like
conch shells.  Ornaments shaped like the open mouths of
sharks adorn their foreheads with pottu.  Huge blossoms
of chenpakam are placed on their faultless hair knots.
They also adorn their hair with honey-flowing marutham
flowers with soft insides and dark petals, and strands
that are woven with red buds which have grown under
water.  Tender, bright pindi sprouts hang from their
ears, touching their breasts decorated with ornaments.
Their breasts that resemble pointed kōngam buds
have beautiful sandal paste smeared on them like
smearing the fragrant flower paste of marutham flowers,
along with vēngai flower pollen.  They pluck and disperse
tender leaves of woodapple trees and sing praising
his lovely, victorious rooster banner, their songs echoing
in the great mountains.
","கோங்க முகைப்போன்ற முலை:  அகநானூறு 99 – மாண் இழை மகளிர் பூணுடை முலையின் முகை பிணி அவிழ்ந்த கோங்கமொடு, அகநானூறு 240 – கோங்கு முகைத்தன்ன குவி முலை ஆகத்து, குறுந்தொகை 254 – முலை ஏர் மென் முகை அவிழ்ந்த கோங்கின் தலை அலர், கலித்தொகை 56 – முதிர் கோங்கின் முகை என முகம் செய்த குரும்பை எனப் பெயல் துளி முகிழ் எனப் பெருத்த நின் இள முலை, கலித்தொகை 117 – கோங்கின் முதிரா இள முகை ஒப்ப, புறநானூறு 336 – கோங்கின் முகை வனப்பு ஏந்திய முற்றா இள முலை, திருமுருகாற்றுப்படை 34 – தேம் கமழ் மருது இணர் கடுப்ப கோங்கின் குவி முகிழ் இளமுலை, சிறுபாணாற்றுப்படை 25-26 – யாணர்க் கோங்கின் அவிர் முகை எள்ளிப் பூண் அகத்து ஒடுங்கிய வெம்முலை.  நாவலொடு பெயரிய பொலம்புனை (18) –  போ. வே சோமசுந்தரனார் உரை – சம்பு என்பது நாவல் மரத்தின் பெயர் (வடமொழி).  நாவற் கனிச்சாறு பாயும் சம்பு நதியின்கண் தோன்றும் பொன் என்னும் கொள்கைப் பற்றி நால்வகைப் பொன்னுள் வைத்து ஒன்றனைச் சம்பூநதம் என்ப.  பொலம் (18) – பொன்.  பொன்னென் கிளவி ஈறு கெட முறையின் முன்னர்த் தோன்றும் லகார மகாரம் செய்யுள் மருங்கின் தொடரியலான (தொல்காப்பியம், எழுத்ததிகாரம் 355).  மண்ணுறுத்து (25) – போ. வே சோமசுந்தரனார் உரை – தங்கச் செய்து,   நச்சினார்க்கினியர் உரை – ‘ஆவுதி மண்ணி’ என்றாற்போல கொள்க.  இனி ‘கழுவி’ என்றுமாம்.  நறுங்குறடு (33) – பொ. வே. சோமசுந்தரனார் உரை – கட்டை.  ஈண்டுக் குறிப்பாற் சந்தனக் கட்டையை உணர்த்திற்று.  தெறியா – தெறித்து என்பது பொருள்.  செய்யா என்னும் வாய்பாட்டு வினையெச்சம்.  எதிர்மறைச் சொல்போல் காணப்படினும் உடன்பாட்டுப் பொருள் தருவது.","மால் வரை – tall bamboo (வரை – கோடு, கணு, கணு உடைமையால் வரை என்பது ஆகுபெயராய் மூங்கிலைக் குறிக்கும் – பொ. வே. சோமசுந்தரனார் உரை), நிவந்த சேண் உயர் வெற்பில் – in the distant tall mountain, கிண்கிணி கவைஇய – surrounded by anklets (கவைஇய – சொல்லிசை அளபெடை), ஒண் செஞ்சீறடி – bright red small feet, கணைக்கால் – thick legs, rounded legs, வாங்கிய நுசுப்பின் – with curved waists, பணைத்தோள் – bamboo arms, கோபத்து அன்ன – like pattupoochi, trombidium grandissimum (கோபத்து – கோபம், அத்து சாரியை), தோயாப் பூந்துகில் – delicate/beautiful cloth that is not dyed, delicate/beautiful cloth of natural color, பல் காசு நிரைத்த – with rows of gold coins, சில்காழ் அல்குல் – few strands, waist/loins, கை புனைந்து இயற்றாக் கவின் பெறு வனப்பின் – with great beauty that was not created by hand, நாவலொடு பெயரிய பொலம் புனை – made with gold from the place with the name naval (see notes above), அவிர் இழை – bright jewels, சேண் இகந்து விளங்கும் – shines from afar(இகந்து – கடந்து), செயிர் தீர் மேனி – faultless bodies, துணையோர் ஆய்ந்த – analyzed by friends, admired by friends, இணை – alike ones, ஈர் ஓதி – wet hair, oiled hair, செங்கால் வெட்சி – vetchi flowers with small stems, சீறிதழ் இடை இடுபு – placed tiny petals in between (இடுபு – இட்டு, செய்பு என்னெச்சம்), பைந்தாள் குவளை – blue waterlilies with green stems, தூவிதழ் – pure petals, கிள்ளி – tore off, தெய்வ உத்தியொடு – ornament called Seedevi, வலம்புரி வயின் வைத்து – placed on the hair knot looking like right-whorled conch shells, திலகம் தைஇய தேம் கமழ் திரு நுதல் – fragrant beautiful foreheads with pottu (தைஇய – சொல்லிசை அளபெடை, தேம் – தேன் என்றதன் திரிபு), மகரப் பகுவாய் தாழ மண்ணுறுத்து – placed/washed ornaments that are in the shape of open mouths of sharks, துவர முடித்த – tied totally, துகள் அறும் முச்சி – faultless hair knots, பெருந்தண் சண்பகம் செரீஇ – placed huge cool Chenbakam flowers (செரீஇ – சொல்லிசை அளபெடை), கருந்தகட்டு – black petals, உள் ஐப்பூ மருதின் – of marutham tree flowers with delicate insides, ஒள் இணர் – bright clusters of flowers (இணர் – கொத்து, ஆகுபெயர் மலருக்கு), அட்டி – placed (இட்டு), கிளைக் கவின்று எழுதரு – rising beautifully from the branches, கீழ் நீர்ச் செவ்வரும்பு – red buds under the water (கீழ் நீர்= நீர்க்கீழ்), இணைப்புறு பிணையல் – woven flower garlands, வளைஇ – around, துணைத்தக  – together, வண் காது நிறைந்த – big ears full, பிண்டி ஒண் தளிர் – asoka tree’s bright sprouts, Saraca indica, நுண் பூண் – fine jewels, ஆகம் திளைப்ப – touching the chest, திண் காழ் – hard-wood sandal, நறுங்குறடு – fragrant wood, உரிஞ்சிய – peeled, பூங்கேழ் – lovely color, lovely and bright, தேய்வை – rubbed and reduced, தேம் கமழ் மருது இணர் கடுப்ப – like the honey-fragrant clusters of marutham tree flowers, Terminalia arjuna (தேம் தேன் என்றதன் திரிபு, கடுப்ப – உவம உருபு, இணர் – கொத்து, ஆகுபெயர் மலருக்கு), கோங்கின் குவி முகிழ் – like the pointed buds of kōngam, இள முலைக் கொட்டி – smeared on their breasts, விரி மலர் வேங்கை நுண் தாது அப்பி – rubbed with fine pollen of open vēngai flowers, காண்வர – beautiful to look,  வெள்ளில் – woodapple trees,  குறுமுறி – tender leaves, கிள்ளுபு தெறியா – கிள்ளித் தெறித்து, plucked and threw, கோழி – rooster, cock, ஓங்கிய – tall, flourishing, வென்று – victorious, அடு – attacking, விறற் கொடி – victorious flag, beautiful flag, வாழிய பெரி என்று ஏத்தி – praise that you live for long, பலர் உடன் – with many, சீர் திகழ் சிலம்பு அகம் சிலம்பப் பாடி – sing loudly in the great mountains causing echoes, சூரர மகளிர் ஆடும் சோலை – grove where goddesses dance, where celestial maidens dance",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா சூரர மகளிர்  
","Paadaan Thinai aatrupadai Nature of Celestial Women
"
4.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"மந்தியும் அறியா மரன் பயில் அடுக்கத்து
சுரும்பும் மூசாச் சுடர்ப் பூங்காந்தட்
பெருந்தண் கண்ணி மிலைந்த சென்னியன்  – 
","Murukan wears on his head a strand of huge, cool,
flame-like kānthal blossoms that are not swarmed
by bees, that grow in the mountain range dense with
trees, where even female monkeys do not know the way.
","அகநானூறு 92 – மந்தியும் அறியா மரம் பயில் இறும்பின், நற்றிணை 194 – மந்தியும் அறியா மரம் பயில், திருமுருகாற்றுப்படை 42 – மந்தியும் அறியா மரன் பயில் அடுக்கத்து.","மந்தியும் அறியா – even the female monkeys do not know, மரன் பயில் அடுக்கத்து – mountain ranges dense with trees, சுரும்பும் மூசா – not swarmed by bees, சுடர்ப் பூங்காந்தட் பெருந்தண் கண்ணி மிலைந்த சென்னியன் – his head is adorned with a strand of huge cool flame-like glory lilies",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா காந்தள் கண்ணி சூடிய சென்னியன்
","Paadaan Thinai aatrupadai Murukan wearing Kānthal flowers
"
5.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"பார் முதிர் பனிக்கடல் கலங்க உள் புக்கு
சூர் முதல் தடிந்த சுடர் இலை நெடுவேல்  – 
","He killed Sooran with his long spear with
bright blade, entering the ocean with huge
rocks and churning it.
",Not available,"பார் முதிர் – filled with huge rocks, பனிக் கடல் கலங்க – churning the cold ocean,  stirring the cold ocean, உள் புக்கு – entered inside, சூர்முதல் தடிந்த – chopped up Sooran, killed Sooran, சுடர் இலை நெடுவேல் – long spear with bright blade",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா முருகன் சூரனைக் கொல்லுதல்
","Paadaan Thinai aatrupadai Murukan killed Sooran
"
6.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"உலறிய கதுப்பின் பிறழ்பல் பேழ்வாய்
சுழல் விழிப் பசுங்கண் சூர்த்த நோக்கின்
கழல்கண் கூகையொடு கடும் பாம்பு தூங்கப்
பெருமுலை அலைக்கும் காதின் பிணர் மோட்டு   
உருகெழு செலவின் அஞ்சுவரு பேய்மகள்
குருதி ஆடிய கூர் உகிர்க் கொடுவிரல்
கண் தொட்டு உண்ட கழிமுடைக் கருந்தலை
ஒண் தொடித் தடக் கையின் ஏந்தி வெருவர
வென்று அடு விறற் களம் பாடி தோள் பெயரா
நிணம் தின் வாயள் துணங்கை தூங்க  – 
","A fierce female ghoul with dry hair, crooked teeth,
big mouth, harsh looks with green colored eyes that
whirl, dangling earrings of dangerous snakes and owls
with whirling eyes that hit her breasts, coarse stomach,
fierce walk, played with blood, dug her curved fingers
with sharp nails into eyes and ate them, held the huge,
stinking, black head on her big hands with bright
bangles, sang causing fear in the murderous battlefield,
her mouth with fatty flesh, she performed thunangai
dance, moving her arms.
","கழி (53) – மிகுதிப் பொருள் குறித்து நின்ற உரிச்சொல்.  கூர்ப்பும் கழிவும் உள்ளது சிறக்கும் (தொல்காப்பியம், உரியியல் 16).  பெயரா – பெயர்த்து (நகர்த்தி) என்பது பொருள்.  செய்யா என்னும் வாய்பாட்டு வினையெச்சம்.  எதிர்மறைச் சொல்போல் காணப்படினும் உடன்பாட்டுப் பொருள் தருவது.  தட – தடவும் கயவும் நளியும் பெருமை (தொல்காப்பியம், உரியியல் 24).","உலறிய கதுப்பின் – with dried hair, பிறழ் பல் – disorderly teeth,  பேழ்வாய் – big mouth, gaping mouth, சுழல் விழிப் பசுங்கண் சூர்த்த நோக்கின் – fierce looks with green eyes that whirl, கழல் கண் கூகையொடு – with owl with whirling eyes, கடும் பாம்பு தூங்க – dangling dangerous snakes, பெரு முலை – large breasts, அலைக்கும் – moving, காதின் – on her ears, பிணர் மோட்டு – coarse stomach, உருகெழு செலவின் – fierce walk, அஞ்சுவரு பேய்மகள் – fierce female ghoul, குருதி ஆடிய – played in blood, கூர் உகிர்க் கொடு விரல் – sharp nails and curved fingers, கண் தொட்டு உண்ட – dug up and ate eyes, கழிமுடைக் கருந்தலை – greatly stinking black head, ஒண் தொடித் தடக் கையின் ஏந்தி – holding in big hands with bright bangles,  வெருவர causing fear, வென்று  அடு விறற் களம் பாடி – sang in the murderous victorious field, தோள் பெயரா – moving her arms/shoulders, நிணம் தின் வாயள் – she has a mouth that eats fatty flesh, துணங்கை தூங்க – she performs thunangai dance",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா பேய்மகளின் துணங்கை
","Paadaan Thinai aatrupadai Thunangai performed by a Female Ghoul
"
7.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"இரு பேர் உருவின் ஒரு பேர் யாக்கை
அறு வேறு வகையின் அஞ்சுவர மண்டி
அவுணர் நல்வலம் அடங்க கவிழ் இணர்
மா முதல் தடிந்த மறு இல் கொற்றத்து    
எய்யா நல் இசை செவ்வேற் சேஎய்  – 
","Murukan, bearing a fine spear, with great fame that
is immeasurable, chopped the trunk of a mango tree
heavy with bent fruit clusters, to control the Asurars.
He cut the body of Sooran with man and beast form
and challenged him to fight with all his six forms
combined as one.
",Not available,"இரு பேர் உருவின் ஒரு பேர் யாக்கை – one body with two different forms – man and beast, அறு வேறு வகையின் – with six different forms, அஞ்சுவர மண்டி – went rapidly causing fear, அவுணர் நல்வலம் அடங்க – to control the victory of Asurars, கவிழ் இணர் – bent clusters, மா முதல் தடிந்த – chopped the trunk of a mango tree, மறு இல் கொற்றத்து – with faultless victory, எய்யா நல் இசை – great fame that is immeasurable, செவ்வேற் சேஎய் – Murukan with fine spear",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா முருகன் மாமரத்தை வெட்டுதல்
","Paadaan Thinai aatrupadai Chopped a Mango Tree
"
8.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"சேவடி படரும் செம்மல் உள்ளமொடு
நலம்புரி கொள்கைப் புலம் பிரிந்து உறையும்
செலவு நீ நயந்தனை ஆயின் பல உடன்
நன்னர் நெஞ்சத்து இன்நசை வாய்ப்ப
இன்னே பெறுதி நீ முன்னிய வினையே  – 
","If you go with a mind of surrendering to his fine feet
with the principle of doing good, moving away from
bodily desires and desiring eternal bliss with a good
heart through many births, good fame will occur, and
you will get the benefits of your past actions.
",Not available,"சேவடி படரும் செம்மல் உள்ளமொடு – with a great mind of going toward his fine/red feet, நலம்புரி கொள்கை – principle of doing good, புலம் பிரிந்து உறையும் – moving away from bodily desires, செலவு நீ நயந்தனை ஆயின் – if you desire to go, பல உடன் – many births, நன்னர் நெஞ்சத்து – with a good heart, இன் நசை வாய்ப்ப – good fame to occur, இன்னே பெறுதி நீ முன்னிய வினையே – now you will get the benefit of your past considerations (பெறுதி – முன்னிலை வினைமுற்று)",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா ஆற்றுப்படுத்தல்
","Paadaan Thinai aatrupadai Offering Guidance
"
9.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"செருப் புகன்று எடுத்த சேண் உயர் நெடுங்கொடி
வரிப் புனை பந்தொடு பாவை தூங்க
பொருநர்த் தேய்த்த போர் அரு வாயில்
திரு வீற்றிருந்த தீது தீர் நியமத்து    
மாடம் மலி மறுகின் கூடற் குடவயின்
இருஞ்சேற்று அகல்வயல் விரிந்து வாய் அவிழ்ந்த
முள் தாள் தாமரைத் துஞ்சி வைகறைக்
கள் கமழ் நெய்தல் ஊதி எல் படக்
கண் போல் மலர்ந்த காமரு சுனைமலர்
அஞ்சிறை வண்டின் அரிக் கணம் ஒலிக்கும்
குன்று அமர்ந்து உறைதலும் உரியன் அதாஅன்று  – 
","He resides in Thirupparankundram, where tall
victory flags raised with desire fly high at the
entrance, along with striped balls and hanging
dolls.  Enemies were ruined at the gate where
battles are rare.  The mountain is on the west of
Koodal city with streets filled with mansions and
faultless markets where wealth resides.  There are
wide fields with dark mud where lotus flowers with
thorny stems flourish.  Bees sleep on them at night
and buzz on neythal flowers with honey in the
morning.  At sunset, the sounds of beautiful swarms
of bees with beautiful wings hovering over pretty
pond flowers, are heard.
He is not just there.
","வரிப் பந்து – நற்றிணை 12 – வரி புனை பந்தொடு – பின்னத்தூர் அ. நாராயணசாமி ஐயர் உரை, ஒளவை துரைசாமி உரை – வரிந்து புனையப்பட்ட பந்தொடு, திருமுருகாற்றுப்படை 68 – வரிப் புனை பந்தொடு – பொ. வே. சோமசுந்தரனார் உரை – நூலால் வரிந்து புனையப்பட்ட பந்தும், நச்சினார்க்கினியர் உரை – நூலால் வரிந்து புனையப்பட்ட பந்தும், வை. மு. கோபாலகிருஷ்ணமாசாரி  உரை – நூலால் வரிந்து புனையப்பட்ட பந்தோடு, கலித்தொகை 51 – வரிப் பந்து – நச்சினார்க்கினியர் உரை – வரியினையுடைய பந்து, பரிபாடல் 9 – வரிப் பந்து – பொ. வே. சோமசுந்தரனார் உரை – வரியினையுடைய பந்து, பெரும்பாணாற்றுப்படை 333 – வரிப்பந்து – பொ. வே. சோமசுந்தரனார் உரை – நூலால் வரியப்பட்ட பந்து.","செருப்  புகன்று எடுத்த – entered battles with desire and raised, சேண் உயர் – far and high, நெடுங்கொடி – tall flags, வரிப் புனை பந்தொடு – along with ball with designs/stripes,  பாவை தூங்க – doll hanging/resting, பொருநர்த் தேய்த்த – ruined enemies, போர் அரு வாயில் – rare/protected gate, திரு வீற்றிருந்த – where wealth/Lakshmi resides, தீது தீர் நியமத்து – with markets without fault, மாடம் மலி மறுகின் – with streets filled with mansions, கூடற் குடவயின் – on the west side of Koodal/Mathurai, இருஞ்சேற்று அகல்வயல் – wide fields with dark mud,  விரிந்து வாய் அவிழ்ந்த – open fully and blossomed, முள் தாள் தாமரைத் துஞ்சி – sleeping in the lotus flowers with thorny stems, வைகறைக் கள் கமழ் நெய்தல் ஊதி – swarming on honey-fragrant waterlilies in the early mornings, எல் படக் கண் போல் மலர்ந்த – blossomed like eyes when the sun arrived, காமரு சுனை மலர் – beautiful pond flowers (காமரு – விகாரம்), அஞ்சிறை வண்டின் அரிக்கணம் ஒலிக்கும் – the humming sounds of beautiful swarms of bees with beautiful wings are heard, குன்று அமர்ந்து உறைதலும் உரியன் – the god who resides in the mountains, அதாஅன்று – not just there (அது அன்று என்பன அதான்று எனப்புணர்ந்து வருமொழி முதல் அளபெடுத்து அதாஅன்று என்றாயிற்று.  அதாஅன்று அஃதன்றியும் என்னும் பொருட்டு, இசைநிறை அளபெடை)",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா திருப்பரங்குன்றில் முருகன் வீற்றிருத்தல்
","Paadaan Thinai aatrupadai Murukan is seated in Thirupparankundram
"
10.0,மதுரைக் கணக்காயனார் மகனார் நக்கீரர்,"வைந்நுதி பொருத வடுஆழ் வரிநுதல்
வாடா மாலை ஓடையொடு துயல்வர
படுமணி இரட்டும் மருங்கின் கடு நடை    
கூற்றத்து அன்ன மாற்று அரு மொய்ம்பின்
கால் கிளர்ந்தன்ன வேழம் மேல் கொண்டு  – 
","He rides on an elephant with swift gait
as fast as the wind, with great strength that
cannot be stopped, like Kootruvan of rapid walk,
with jingling bells hanging on both sides, gold
ōdai ornaments, and face lines with deep scars
caused by weapons with sharp tips.
",Not available,"வைந்நுதி – sharp tips, பொருத – attacked, வடு ஆழ் வரி நுதல் – face with lines and deep scars, வாடா மாலை ஓடையொடு – with ōdai ornaments that do not fade, with gold ōdai ornaments (வாடா மாலை – பொன் மாலைக்கு வெளிப்படை), துயல்வர படுமணி இரட்டும் மருங்கின் – on the sides where the hanging bells sway and jingle, கடு நடை – rapid walk, கூற்றத்து அன்ன – like Kootruvan who is the god of death (கூற்றத்து – கூற்றம், அத்து சாரியை), மாற்று அரு மொய்ம்பின் – with great strength that cannot be stopped, கால் கிளர்ந்தன்ன வேழம் மேல் கொண்டு – climbing on an elephant as rapid as the rising wind",Madurai Kanakkaayanaar son Nakkeerar,"பாடப்பட்டவன்:முருகப்பெருமான் திணை:பாடாண் துறை:ஆற்றுப்படை ஆசிரியப்பா திருச்சீரலைவாய் (திருச்செந்தூர்) ஆறுமுகன் யானையின் மேல் ஏறி வருதல்
","Paadaan Thinai aatrupadai Thirucheeralaivāy (Thiruchendur) Murukan riding an elephant
"
